Intercept,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Measles , BMI ,under-five deaths ,Total expenditure,Diphtheria , HIV/AIDS,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
1.0,0.7566288060547509,0.24374476730232772,-1.1229475703189153,-0.35690875185899984,-0.10617092954682675,-0.9635595557445971,0.23813448215455457,0.958840474763501,-0.8879412925710606,-0.31238861476066243,0.2709132892350808,2.685909126938892,2.663653819566949,-0.8334621299791423,-0.7227990941513891
1.0,0.8204896327308498,0.2602996139303411,-1.1229475703189153,-0.35563283022508096,-0.1718276634215234,-0.9888782436779846,0.2565565013454375,0.9675410896611214,-1.0270062741884676,-0.31238861476066243,-0.20338219859559417,2.751157247165009,2.706642888688897,-0.8498525987675554,-0.758583161230038
1.0,0.7965418227273128,0.2768544605583546,-1.1229475703189153,-0.3558058783181048,-0.17797678351250704,-1.0141969316113721,0.27497852053632044,0.9457895524170703,-0.9342962864435296,-0.31238861476066243,0.24245170869106714,2.79465599398242,2.749631957810845,-0.8826335363443814,-0.7943672283086869
1.0,0.8284722360653622,0.30168673050037476,-1.1229475703189153,-0.35298277924171817,0.05578895930117868,-1.0395156195447597,0.299541212790831,1.1154515429206726,-0.7952313048261226,-0.31238861476066243,-0.15554826034567545,2.8381547407998315,2.8141155614937667,-0.9208779635173449,-0.8301512953873358
1.0,0.8524200460688993,0.3182415771283882,-1.1229475703189153,-0.39340313237426,0.07820349382637723,-1.05977056989147,0.3241039050453416,0.8326815587480013,-0.7488763109536536,-0.31238861476066243,-0.16574657007640106,2.9034028610259486,2.8571046306157144,-0.9700493698825841,-0.9375034966232831
1.0,0.8843504594069489,0.3430738470704084,-1.1229475703189153,-0.352132631062321,-0.023356167031159555,-1.0850892578248574,0.3548072703634798,1.411272449439775,-0.8415862986985916,-0.31238861476066243,-0.16710138722802387,2.9469016078433596,2.900093699737662,-1.00283030745941,-1.0448556978592305
1.0,0.9003156660759736,0.36790611701242854,-1.1229475703189153,-0.36516339517640745,0.06312823166783661,-1.1104079457582448,0.3793699626179904,1.5069792133136026,-0.9806512803159987,-0.31238861476066243,-0.2039962190145819,2.9904003546607716,2.964577303420584,-1.0793191618053377,-1.1522078990951772
1.0,0.9482112860830478,0.3927383869544487,-1.1179822864752258,-0.38272657517122755,-0.062036115990572974,-1.1357266336916323,0.4039326548725009,1.0327957013932765,-0.9342962864435296,-0.31238861476066243,-0.16928392735735034,3.033899101478183,3.0075663725425317,-1.0847826514014753,-1.2237760332524756
1.0,1.0120721127591468,0.4092932335824621,-1.1204649283970707,-0.3912350216601587,-0.10746026117880719,-1.1610453216250198,0.42235467406338384,0.3367465095836236,-0.9806512803159987,-0.31238861476066243,0.16983718914241594,3.077397848295594,3.05055544166448,-1.1831254641319537,-1.3311282344884223
1.0,1.0120721127591468,0.4258480802104756,-1.1179822864752258,-0.38767479173593516,-0.023256987674853364,-1.1863640095584074,0.44077669325426677,0.6412680310003466,-1.2124262496783438,-0.31238861476066243,-0.17127268286391242,3.120896595113005,3.0935445107864274,-1.2377603600933302,-1.4384804357243697
1.0,0.9801416994210974,0.4341255035244823,-1.1204649283970707,-0.3966489812959109,-0.09208746095134802,-1.211682697491795,0.45305803938152206,1.1937570769992585,-1.2124262496783438,-0.31238861476066243,-0.20437289940987916,3.142645968521711,3.1365335799083756,-1.2869317664585693,-1.5100485698816675
1.0,0.9961069060901221,0.45068035015249575,-1.1204649283970707,-0.3887411791381705,-0.17440632668548428,-1.231937647838505,0.46533938550877735,1.2329098440385515,-3.669240924919202,-0.31238861476066243,0.13437654812109798,3.1861447153391222,3.1795226490303232,-1.3688841104006346,-1.9036733077468069
1.0,1.0120721127591468,0.45068035015249575,-1.1229475703189153,-0.39113330040358457,-0.14147878039182976,-1.2521925981852151,0.47762073163603264,1.245960766384983,-2.000461145510317,-0.31238861476066243,-0.1744597513696171,3.2296434621565338,3.222511718152271,-1.412592027169736,-2.011025508982754
1.0,-1.3188480609184667,0.45895777346650246,-1.1229475703189153,-0.3878363697614073,0.02593597305301601,-1.2724475485319249,0.47762073163603264,0.7848281768110875,-2.2322361148726624,-0.31238861476066243,0.10400906386967632,3.273142208973945,-0.5820208991401132,-1.5874236942461415,-2.118377710218701
1.0,1.1797067827839067,0.45895777346650246,-1.1229475703189153,-0.39142574695433796,0.6483856132306536,-1.2927024988786349,0.47762073163603264,0.8022294066063289,-2.371301096490069,-0.31238861476066243,-0.1659188609322156,-0.5982462577756652,-0.5390318300181655,-1.5928871838422791,-2.225729911454648
1.0,1.2196197994564686,0.45895777346650246,-1.1229475703189153,-0.39151090562546437,0.4272156486678538,-1.312957449225345,0.47762073163603264,0.9762417045587419,-2.7884960413422903,-0.31238861476066243,-0.2038624153464827,-0.5547475109582539,-0.5175372954571915,-1.6038141630345546,-2.368866179769244
1.0,-0.7520832241680881,-0.269455478166089,0.016585071807787042,-0.18991250402873378,-0.220623906724168,1.006234365472952,-0.27154138212653983,0.01917406582046923,0.6881284990928861,-0.31238861476066243,-0.20762287338543506,-0.7939906184540162,-0.7754717101888786,0.7127054257278207,0.7443476560732208
1.0,-1.2789350442459049,-0.269455478166089,-0.00575870548881493,-0.15365049844123474,-0.220623906724168,0.9657244647795321,-0.2654007090629122,-0.033029623565254795,0.6417735052204171,-0.31238861476066243,-0.2039311556500303,-0.7939906184540162,-0.7754717101888786,0.707241936131683,0.7443476560732208
1.0,-0.6722571908229643,-0.269455478166089,0.05630734255730176,-0.15244056113380608,-0.220623906724168,0.9302783016727895,-0.2654007090629122,-0.128736387439082,0.6881284990928861,-0.31238861476066243,-0.20392153030393256,-0.7722412450453107,-0.7539771756279047,0.6963149569394076,0.7443476560732208
1.0,-0.6562919841539396,-0.269455478166089,0.15064773558739908,-0.16292197688560864,-0.2197312925174123,0.8948321385660467,-0.2654007090629122,-0.15918853958075443,0.6881284990928861,-0.31238861476066243,-0.20799102157866042,-0.7722412450453107,-0.7539771756279047,0.6580705297664439,0.7443476560732208
1.0,-0.6403267774849148,-0.269455478166089,0.20774849978982654,-0.14892368153122248,-0.21784688474759473,0.8593859754593044,-0.2654007090629122,-0.1069848501950304,0.6881284990928861,-0.31238861476066243,-0.2038419863302074,-0.7504918716366049,-0.7324826410669307,0.5815816754205163,0.42229105236538006
1.0,-0.6163789674813778,-0.2611780548520823,0.18540472249322457,-0.3736580190647771,-0.21963211316110612,0.8188760747658842,-0.2654007090629122,-0.26794622580101274,0.6881284990928861,-0.31238861476066243,-0.20389698425171576,-0.7504918716366049,-0.7324826410669307,0.5105563106707264,0.13601851573618762
1.0,-0.6163789674813778,-0.2611780548520823,0.31201946050730256,-0.19953285832116963,-0.220623906724168,0.7783661740724643,-0.2654007090629122,-0.07218239060454772,0.6417735052204171,-0.31238861476066243,-0.16647173626913406,-0.7287424982278993,-0.7109881065059568,0.48870235228617565,0.028666314500240292
1.0,-1.3348132675874915,-0.2611780548520823,0.2673319059140986,-0.3766151470935623,-0.220623906724168,0.7327925357923668,-0.2654007090629122,-0.03737993101406504,0.6881284990928861,-0.31238861476066243,-0.16619071307443653,-0.7069931248191935,-0.7109881065059568,0.4449944355170742,-0.042901819657057506
1.0,-1.2709524409113926,-0.2611780548520823,0.25988398014856456,-0.3791030793951425,-0.21844196088543186,0.6872188975122694,-0.2654007090629122,0.0626771403085724,0.6417735052204171,-0.31238861476066243,-0.2076108913911777,-0.7069931248191935,-0.6894935719449828,0.3903595395556974,-0.18603808797165372
1.0,-0.5525181408052787,-0.2611780548520823,0.19285264825875842,-0.3955609554799716,-0.2138797104953472,-1.6370366547727053,-0.2654007090629122,-0.041730238462875276,0.5954185113479481,-0.31238861476066243,-0.16554855484428987,-0.6852437514104879,-0.667999037384009,0.35211511238273363,-0.2576062221289515
1.0,-1.2230568209043182,-0.2611780548520823,0.15561301943108855,-0.382090196754106,-0.22002883058633088,0.5960716209520741,-0.2654007090629122,0.07137775520619326,0.6417735052204171,-0.31238861476066243,-0.20361069409034824,-0.6634943780017822,-0.667999037384009,0.29201672682521973,-0.47231062460084555
1.0,-1.2070916142352934,-0.2611780548520823,0.0016892202767191343,-0.27129805465426066,-0.21992965123002467,0.545434245085299,-0.2654007090629122,0.18448574887526178,0.5954185113479481,-0.31238861476066243,-0.2033913270580438,-0.6634943780017822,-0.6465045028230351,0.270162768440669,-0.43652655752219666
1.0,-1.1991090109007811,-0.2611780548520823,-0.060376827769397554,-0.389069136707288,-0.21983047187371849,0.494796869218524,-0.2654007090629122,0.13663236693834802,0.5954185113479481,-0.31238861476066243,-0.203211355800697,-0.6417450045930766,-0.6250099682620611,0.2319183412677052,-0.5080946916794951
1.0,-1.2230568209043182,-0.2611780548520823,-0.19940477539269894,-0.33800992269917396,-0.219037037023269,0.4441594933517489,-0.2654007090629122,0.14968328928477911,0.6417735052204171,-0.31238861476066243,-0.207982929473534,-0.6199956311843708,-0.6035154337010872,0.21006438288315446,-0.5080946916794951
1.0,-1.2310394242388307,-0.2611780548520823,-0.07030739545677622,-0.34273577964785074,-0.21883867831065662,0.39858585507165145,-0.2654007090629122,0.01917406582046923,0.5954185113479481,-0.31238861476066243,-0.2075192376531142,-0.5982462577756652,-0.6035154337010872,0.16635646611405303,-0.543878758758144
1.0,-1.2549872342423678,-0.2611780548520823,-0.21678326884561158,-0.3452910994349863,-0.15496717284947137,0.3479484792048764,-0.2654007090629122,0.13228205948953775,0.5954185113479481,-0.31238861476066243,-0.20748014000834547,-0.5982462577756652,-0.5820208991401132,0.13357552853722693,-0.5080946916794951
1.0,-1.2549872342423678,-0.09562958857194785,-1.1229475703189153,-0.36659906044241425,-0.220623906724168,1.026489315819662,-0.12416522859947637,0.5455612671265193,0.50270852360301,-0.31238861476066243,0.34724624466272963,0.24997930516385614,0.19178234505494793,0.5979721442089293,0.8159157902305192
1.0,-0.44874429745661787,-0.09562958857194785,-0.9938501903829924,-0.08786216013358934,-0.2181444228165133,0.9657244647795321,-0.12416522859947637,0.5064085000872265,0.50270852360301,-0.31238861476066243,0.336247355998163,0.22822993175515055,0.19178234505494793,0.5761181858243786,0.8159157902305192
1.0,-0.4407616941221055,-0.09562958857194785,-0.9615758453990118,-0.08133724548444496,-0.21883867831065662,0.9100233513260795,-0.12416522859947637,0.08007837010381373,0.50270852360301,-0.31238861476066243,0.32527737176524096,0.22822993175515055,0.19178234505494793,0.5488007378436902,0.8159157902305192
1.0,-0.41681388411856835,-0.09562958857194785,-0.9864022646174585,-0.10801840435024394,-0.20951581881787493,0.8543222378726268,-0.12416522859947637,-0.28969776304506434,0.50270852360301,-0.31238861476066243,0.31468254888332053,0.22822993175515055,0.19178234505494793,0.5050928210745887,0.6727795219159229
1.0,-0.3928660741150312,-0.09562958857194785,-1.0137113257577497,-0.15253119215542255,-0.2104084330246306,0.7986211244191742,-0.12416522859947637,-0.36365298967483994,0.50270852360301,-0.31238861476066243,0.30471760410710047,0.22822993175515055,0.19178234505494793,0.45045792511321187,0.5296432536013268
